Repo,NodeName,dataType (bits),depth,folded_shape (dimensions flattened),normal_shape (dimensions flattened),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP Blocks
t2w2_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_13,2,2,32,32,5,5,0,0,8,0,0,0
t2w2_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_14,7,2,6,6,11,11,0,0,18,0,0,0
t2w2_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_15,8,2,1,1,7,7,0,0,10,0,0,0
t2w4_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_0,8,435,4096,4096,310,86,0,224,35,0,0,0
t2w4_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_1,8,2,4624,4624,20,20,0,0,36,0,0,0
t2w4_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_2,8,146,4624,4624,258,98,0,160,45,0,0,0
t2w4_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_3,8,2,9216,9216,37,37,0,0,68,0,0,0
t2w4_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_4,8,2,9216,9216,149,149,0,0,293,0,0,0
t2w4_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_5,4,32,4096,4096,55,39,0,16,26,0,0,0
t2w4_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_6,4,2,5184,5184,20,20,0,0,36,0,0,0
t2w4_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_7,4,58,5184,5184,123,59,0,64,43,0,0,0
t2w4_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_8,4,2,9216,9216,36,36,0,0,68,0,0,0
t2w4_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_9,4,46,9216,9216,242,98,0,144,83,0,0,0
t2w4_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_10,4,2,512,512,8,8,0,0,19,0,0,0
t2w4_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_11,4,32,512,512,32,28,0,4,14,0,0,0
t2w4_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_12,4,146,800,800,62,42,0,20,17,0,0,0
t2w4_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_13,4,569,1152,1152,43,43,0,0,57,0,1,0
t2w4_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_14,4,576,1152,1152,43,43,0,0,57,0,1,0
t2w4_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_15,4,32,256,256,30,26,0,4,14,0,0,0
t2w4_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_16,4,121,576,576,47,31,0,16,16,0,0,0
t2w4_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_17,4,2,576,576,7,7,0,0,11,0,0,0
t2w4_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_18,4,142,576,576,93,53,0,40,21,0,0,0
t2w4_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_19,4,2,32,32,8,8,0,0,12,0,0,0
t2w4_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_20,11,2,6,6,15,15,0,0,26,0,0,0
