Hardware config,Submodule Instance,isRTL,ConvKernelDim,Dilation,K,Labels,PE,Padding,Stride,accDataType (bits),inputDataType (bits),numInputVectors,outputDataType (bits),weightDataType (bits),Total LUT,Total FFs,DSP Blocks
t2w2_run12_20_modify_folding_BOTH,StreamingDataWidthConverter_rtl_3,1,,,,,,,,,,,,,8,33,0
t2w2_run12_20_modify_folding_BOTH,StreamingDataWidthConverter_rtl_4,1,,,,,,,,,,,,,7,12,0
t2w8_run25_80_modify_folding_BOTH,StreamingDataWidthConverter_hls_0,0,,,,,,,,,,,,,1163,2836,0
t2w8_run25_80_modify_folding_BOTH,StreamingDataWidthConverter_rtl_0,1,,,,,,,,,,,,,12,51,0
t2w8_run25_80_modify_folding_BOTH,StreamingDataWidthConverter_rtl_1,1,,,,,,,,,,,,,20,99,0
t2w8_run25_80_modify_folding_BOTH,StreamingDataWidthConverter_rtl_2,1,,,,,,,,,,,,,13,86,0
t2w8_run25_80_modify_folding_BOTH,StreamingDataWidthConverter_rtl_3,1,,,,,,,,,,,,,10,36,0
t2w8_run4_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_0,1,,,,,,,,,,,,,10,61,0
t2w8_run4_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_1,1,,,,,,,,,,,,,10,36,0
t2w4_run26_40_modify_folding_naive_BOTH,StreamingDataWidthConverter_hls_0,0,,,,,,,,,,,,,879,2684,0
t2w4_run26_40_modify_folding_naive_BOTH,StreamingDataWidthConverter_rtl_0,1,,,,,,,,,,,,,12,51,0
t2w4_run26_40_modify_folding_naive_BOTH,StreamingDataWidthConverter_rtl_1,1,,,,,,,,,,,,,20,99,0
t2w4_run26_40_modify_folding_naive_BOTH,StreamingDataWidthConverter_rtl_2,1,,,,,,,,,,,,,10,61,0
t2w4_run26_40_modify_folding_naive_BOTH,StreamingDataWidthConverter_rtl_3,1,,,,,,,,,,,,,8,27,0
t2w4_run26_40_modify_folding_naive_BOTH,StreamingDataWidthConverter_rtl_4,1,,,,,,,,,,,,,18,48,0
