isRTL,ActVal,ConvKernelDim (dimensions flattened),Dilation (dimensions flattened),Input Feature Map Channels,Input Feature Map Dim (dimensions flattened),ImgDim (dimensions flattened),K,Labels,MH,MW,NumChannels,Output Feature Map Dim (dimensions flattened),Padding (dimensions flattened),Stride (dimensions flattened),accDataType (bits),binaryXnorMode,inWidth,inputDataType (bits),noActivation,numInputVectors (dimensions flattened),isOp_typeConvolutioninputgeneratorrtl,isOp_typeFmpaddingrtl,isOp_typeLabelselecthls,isOp_typeMvauhls,isOp_typeMvaurtl,isOp_typeThresholdingrtl,outputDataType (bits),parallel_window,weightDataType (bits),PE,SIMD,isRam_styleAuto,isRam_styleBlock,isRam_styleDistributed,isResTypeDsp,isResTypeLut,depth,isImpl_styleRtl,Total LUT,Total FFs,BRAM (36k eq.),DSP Blocks
1,0.0,,,,,,,,,,784.0,,,,,,,8.0,,1.0,0,0,0,0,0,1,,,9.0,16.0,,0,0,0,0,0,,0,28,58,0.0,0
1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,,0,24,819,0.0,0
1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,1,0,0,0,0,2.0,1,235,458,0.0,0
1,,,,,,,,,,,,,,,,,1.0,,,,0,0,0,0,0,0,,,,,,1,0,0,0,0,2.0,1,39,70,0.0,0
1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,1,0,0,0,0,32.0,1,71,32,0.0,0
1,0.0,,,,,,,,,,784.0,,,,,,,8.0,,1.0,0,0,0,0,0,1,,,9.0,28.0,,0,0,0,0,0,,0,40,94,0.0,0
0,0.0,,,,,,,,10.0,64.0,,,,,7.0,1.0,,,1.0,1.0,0,0,0,1,0,0,7.0,,,1.0,32.0,0,1,0,1,0,,0,337,479,0.5,0
1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,,0,9,40,0.0,0
0,0.0,,,,,,,,64.0,784.0,,,,,10.0,1.0,,,0.0,1.0,0,0,0,1,0,0,,,,4.0,784.0,0,1,0,1,0,,0,8348,19868,44.0,0
0,0.0,,,,,,,,64.0,64.0,,,,,7.0,1.0,,,0.0,1.0,0,0,0,1,0,0,,,,4.0,64.0,0,1,0,1,0,,0,808,1722,4.0,0
0,0.0,,,,,,,,64.0,64.0,,,,,7.0,1.0,,,0.0,1.0,0,0,0,1,0,0,,,,4.0,64.0,0,1,0,1,0,,0,807,1719,4.0,0
1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,,0,10,74,0.0,0
1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,,0,8,41,0.0,0
1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,,0,35,839,0.0,0
1,,,,,,,,,,,,,,,,,1.0,,,,0,0,0,0,0,0,,,,,,1,0,0,0,0,2.0,1,63,118,0.0,0
1,0.0,,,,,,,,,,784.0,,,,,,,8.0,,1.0,0,0,0,0,0,1,,,9.0,49.0,,0,0,0,0,0,,0,61,157,0.0,0
0,0.0,,,,,,,,10.0,64.0,,,,,7.0,1.0,,,1.0,1.0,0,0,0,1,0,0,7.0,,,1.0,64.0,0,1,0,1,0,,0,337,672,1.0,0
0,0.0,,,,,,,,64.0,784.0,,,,,10.0,1.0,,,0.0,1.0,0,0,0,1,0,0,,,,8.0,784.0,0,1,0,1,0,,0,16341,37104,87.5,0
0,0.0,,,,,,,,64.0,64.0,,,,,7.0,1.0,,,0.0,1.0,0,0,0,1,0,0,,,,8.0,64.0,0,1,0,1,0,,0,1417,3112,7.5,0
0,0.0,,,,,,,,64.0,64.0,,,,,7.0,1.0,,,0.0,1.0,0,0,0,1,0,0,,,,8.0,64.0,0,1,0,1,0,,0,1413,3106,7.5,0
1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,,0,38,846,0.0,0
1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,,0,10,77,0.0,0
1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,1,0,0,0,0,2.0,1,463,910,0.0,0
1,0.0,,,,,,,,,,784.0,,,,,,,8.0,,1.0,0,0,0,0,0,1,,,9.0,56.0,,0,0,0,0,0,,0,68,178,0.0,0
0,0.0,,,,,,,,64.0,784.0,,,,,10.0,1.0,,,0.0,1.0,0,0,0,1,0,0,,,,1.0,1.0,0,0,1,1,0,,0,8724,1487,0.0,0
0,0.0,,,,,,,,64.0,64.0,,,,,7.0,1.0,,,0.0,1.0,0,0,0,1,0,0,,,,1.0,1.0,0,0,1,1,0,,0,892,310,0.0,0
0,0.0,,,,,,,,10.0,64.0,,,,,7.0,1.0,,,1.0,1.0,0,0,0,1,0,0,7.0,,,1.0,1.0,0,0,1,1,0,,0,422,276,0.0,0
0,0.0,,,,,,,,64.0,784.0,,,,,10.0,1.0,,,0.0,1.0,0,0,0,1,0,0,,,,1.0,2.0,0,0,1,1,0,,0,5082,1252,0.0,0
