Hardware config,Submodule Instance,ConvKernelDim,Dilation,K,Labels,PE,Padding,Stride,numInputVectors,Total LUT,Total FFs,BRAM (36k eq.),DSP Blocks
builds_t2w2_run12_40_modify_folding_BOTH,StreamingFIFO_rtl_3,,,,,,,,,23,38,0.0,0
builds_t2w2_run12_40_modify_folding_BOTH,StreamingFIFO_rtl_4,,,,,,,,,301,588,0.0,0
builds_t2w2_run12_40_modify_folding_BOTH,StreamingFIFO_rtl_5,,,,,,,,,49,53,0.5,0
builds_t2w2_run12_40_modify_folding_BOTH,StreamingFIFO_rtl_6,,,,,,,,,15,22,0.0,0
builds_t2w2_run12_40_modify_folding_BOTH,StreamingFIFO_rtl_7,,,,,,,,,54,25,0.0,0
builds_t2w2_run12_40_modify_folding_BOTH,StreamingFIFO_rtl_8,,,,,,,,,15,22,0.0,0
builds_t2w2_run12_40_modify_folding_BOTH,StreamingFIFO_rtl_9,,,,,,,,,49,53,0.5,0
builds_t2w4_run12_20_modify_folding_BOTH,StreamingFIFO_rtl_0,,,,,,,,,319,37,0.0,0
builds_t2w4_run12_20_modify_folding_BOTH,StreamingFIFO_rtl_1,,,,,,,,,15,22,0.0,0
builds_t2w4_run12_20_modify_folding_BOTH,StreamingFIFO_rtl_10,,,,,,,,,55,24,0.0,0
builds_t2w4_run12_20_modify_folding_BOTH,StreamingFIFO_rtl_11,,,,,,,,,15,22,0.0,0
builds_t2w4_run12_20_modify_folding_BOTH,StreamingFIFO_rtl_12,,,,,,,,,15,22,0.0,0
builds_t2w4_run12_20_modify_folding_BOTH,StreamingFIFO_rtl_13,,,,,,,,,86,33,0.0,0
builds_t2w4_run12_20_modify_folding_BOTH,StreamingFIFO_rtl_14,,,,,,,,,55,24,0.0,0
builds_t2w4_run12_20_modify_folding_BOTH,StreamingFIFO_rtl_15,,,,,,,,,15,22,0.0,0
builds_t2w4_run12_20_modify_folding_BOTH,StreamingFIFO_rtl_16,,,,,,,,,120,29,0.0,0
builds_t2w4_run12_20_modify_folding_BOTH,StreamingFIFO_rtl_17,,,,,,,,,15,22,0.0,0
builds_t2w4_run12_20_modify_folding_BOTH,StreamingFIFO_rtl_18,,,,,,,,,23,38,0.0,0
builds_t2w4_run12_20_modify_folding_BOTH,StreamingFIFO_rtl_19,,,,,,,,,15,22,0.0,0
builds_t2w4_run12_20_modify_folding_BOTH,StreamingFIFO_rtl_2,,,,,,,,,170,37,0.0,0
builds_t2w4_run12_20_modify_folding_BOTH,StreamingFIFO_rtl_3,,,,,,,,,23,38,0.0,0
builds_t2w4_run12_20_modify_folding_BOTH,StreamingFIFO_rtl_4,,,,,,,,,301,588,0.0,0
builds_t2w4_run12_20_modify_folding_BOTH,StreamingFIFO_rtl_5,,,,,,,,,49,53,0.5,0
builds_t2w4_run12_20_modify_folding_BOTH,StreamingFIFO_rtl_6,,,,,,,,,15,22,0.0,0
builds_t2w4_run12_20_modify_folding_BOTH,StreamingFIFO_rtl_7,,,,,,,,,54,25,0.0,0
builds_t2w4_run12_20_modify_folding_BOTH,StreamingFIFO_rtl_8,,,,,,,,,15,22,0.0,0
builds_t2w4_run12_20_modify_folding_BOTH,StreamingFIFO_rtl_9,,,,,,,,,49,53,1.0,0
builds_t2w2_run26_80_modify_folding_naive_BOTH,StreamingFIFO_rtl_0,,,,,,,,,341,58,0.0,0
builds_t2w2_run26_80_modify_folding_naive_BOTH,StreamingFIFO_rtl_1,,,,,,,,,39,70,0.0,0
builds_t2w2_run26_80_modify_folding_naive_BOTH,StreamingFIFO_rtl_10,,,,,,,,,15,22,0.0,0
builds_t2w2_run26_80_modify_folding_naive_BOTH,StreamingFIFO_rtl_11,,,,,,,,,15,22,0.0,0
builds_t2w2_run26_80_modify_folding_naive_BOTH,StreamingFIFO_rtl_12,,,,,,,,,82,40,0.0,0
builds_t2w2_run26_80_modify_folding_naive_BOTH,StreamingFIFO_rtl_13,,,,,,,,,15,22,0.0,0
builds_t2w2_run26_80_modify_folding_naive_BOTH,StreamingFIFO_rtl_14,,,,,,,,,15,22,0.0,0
builds_t2w2_run26_80_modify_folding_naive_BOTH,StreamingFIFO_rtl_15,,,,,,,,,15,22,0.0,0
builds_t2w2_run26_80_modify_folding_naive_BOTH,StreamingFIFO_rtl_16,,,,,,,,,61,25,0.0,0
